MLBAMID,Name,Bats,Throws,Position,DOB_Month,DOB_Day,DOB_Year,MLB org.,FG_30,FG_FV,MLB_30,MLB_FV,FG100,MLB100
687362,Connor Gillispie,R,R,P,11,10,1997,Cleveland Guardians,,,,,,
687377,Orlando Ribalta,R,R,P,3,5,1998,Washington Nationals,27,40,,,,
687396,Brent Headrick,L,L,P,12,17,1997,Minnesota Twins,,,,,,
687424,Anthony Maldonado,R,R,P,2,6,1998,Miami Marlins,22,40,,,,
687436,Victor Torres,R,R,C,7,29,2000,Milwaukee Brewers,,,,,,
687439,Colton Johnson,L,L,P,7,28,1998,Oakland Athletics,,,,,,
687473,Ryan Gusto,R,R,P,3,11,1999,Houston Astros,,,,,,
687478,Cam Devanney,R,R,SS,4,13,1997,Kansas City Royals,11,42,,,,
687482,Keagan Gillies,R,R,P,1,27,1998,Baltimore Orioles,80,35,,,,
687520,Colton McIntosh,L,R,P,10,27,2000,Chicago White Sox,,,,,,
687531,William Kempner,R,R,P,6,18,2001,Miami Marlins,56,37,,,,
687535,Dylan Simmons,R,R,P,10,5,2000,Cincinnati Reds,,,,,,
687543,Andrew Jenkins,R,R,1B,11,3,2000,Detroit Tigers,,,,,,
687545,Blake Robertson,L,R,1B,5,19,2001,Tampa Bay Rays,,,,,,
687547,Ryan Ramsey,R,L,P,1,18,2001,Kansas City Royals,,,,,,
687553,Kamren James,R,R,SS,5,25,2000,Tampa Bay Rays,,,,,,
687554,DJ Gladney,R,R,OF,7,14,2001,Chicago White Sox,,,,,,
687567,Jorel Ortega,R,R,2B,1,22,2001,Minnesota Twins,63,35,,,,
687578,David Leal,L,L,P,4,22,1997,Oakland Athletics,,,,,,
687593,Hunter Patteson,L,L,P,4,4,2000,Kansas City Royals,46,35,,,,
687600,Kaden Hopson,L,R,C,8,16,2000,Los Angeles Angels,,,,,,
687605,Andrew Pinckney,R,R,OF,12,7,2000,Washington Nationals,54,35,,,,
687606,Paxton Schultz,L,R,P,1,5,1998,Toronto Blue Jays,50,35,,,,
687607,Edgar Barclay,L,L,P,5,24,1998,New York Yankees,,,,,,
687616,Jimmy Obertop,R,R,C,6,12,2000,Colorado Rockies,,,,,,
687625,Kai Murphy,L,L,OF,8,26,2000,San Diego Padres,,,,,,
687627,Kody Huff,R,R,C,12,11,2000,Cleveland Guardians,61,35,,,,
687629,Bo Bonds,R,R,P,1,10,2001,Toronto Blue Jays,39,37,,,,
687677,Arij Fransen,R,R,P,5,20,2001,Cincinnati Reds,53,35,,,,
687680,Julio Herrera,L,R,C,11,20,2000,Baltimore Orioles,,,,,,
687714,Jackson Cluff,L,R,SS,12,3,1996,Washington Nationals,,,,,,
687721,Cameron Weston,R,R,P,8,27,2000,Baltimore Orioles,19,42,,,,
687724,Jake Holton,R,R,1B,3,2,1998,Detroit Tigers,,,,,,
687726,Cameron Wagoner,R,R,P,6,21,2001,Milwaukee Brewers,,,,,,
687730,Caleb Cali,R,R,3B,8,20,2000,Seattle Mariners,,,,,,
687749,Jase Bowen,R,R,CF,9,2,2000,Pittsburgh Pirates,59,35,,,,
